CR001, EcoFreight Express, Electric Van, SHP901, Perishables, 5, 2026-06-02, 12, 450.00
CR030, MegaRail, Freight Train, SHP991, Raw Materials, 4, 2026-06-27, 96, 1350.00
CR030, MegaRail, Freight Train, SHP992, Bulk Apparel, 5, 2026-06-28, 72, 920.00
CR030, MegaRail, Freight Train, SHP993, Hazardous Materials, 1, 2026-06-28, 96, 2150.00
CR031, AirLink, Drone Delivery, SHP994, Medical Supplies, 1, 2026-06-28, 1, 85.00
CR032, TransitGreen, Hybrid Truck, SHP995, Standard Electronics, 3, 2026-06-29, 48, 270.00
CR032, TransitGreen, Hybrid Truck, SHP996, Perishables, 2, 2026-06-29, 24, 180.00
CR032, TransitGreen, Hybrid Truck, SHP997, Bulk Apparel, 4, 2026-06-29, 48, 310.00
CR033, ChargeGo, Electric Van, SHP998, Perishables, 2, 2026-06-30, 8, 65.00
CR033, ChargeGo, Electric Van, SHP999, Standard Electronics, 3, 2026-06-30, 12, 115.00
CR034, AlphaTrains, Freight Train, SHP1000, Machinery, 3, 2026-06-30, 96, 1900.00
